Institution_Name,Alt_Name,Overall_Rank,Category,Sub_Category,Total_Points,Earned_Points
"Indian institute of Technology, Madras",IIT-M,1,TLR,SS,20,18.5
"Indian institute of Technology, Madras",IIT-M,1,TLR,FSR,30,30
"Indian institute of Technology, Madras",IIT-M,1,TLR,FQE,20,18.43
"Indian institute of Technology, Madras",IIT-M,1,TLR,FRU,30,26.9
"Indian institute of Technology, Madras",IIT-M,1,RP,PU,35,34.01
"Indian institute of Technology, Madras",IIT-M,1,RP,QP,40,35.93
"Indian institute of Technology, Madras",IIT-M,1,RP,IPR,15,13
"Indian institute of Technology, Madras",IIT-M,1,RP,FPPP,10,8.51
"Indian institute of Technology, Madras",IIT-M,1,GO,GPHE,40,32.62
"Indian institute of Technology, Madras",IIT-M,1,GO,GUE,15,15
"Indian institute of Technology, Madras",IIT-M,1,GO,MS,25,21.1
"Indian institute of Technology, Madras",IIT-M,1,GO,GPHD,20,16.19
"Indian institute of Technology, Madras",IIT-M,1,OI,RD,30,21.96
"Indian institute of Technology, Madras",IIT-M,1,OI,WD,30,13.35
"Indian institute of Technology, Madras",IIT-M,1,OI,ESCS,20,8.57
"Indian institute of Technology, Madras",IIT-M,1,OI,PCS,20,20
"Indian institute of Technology, Madras",IIT-M,1,PR,PREMP,100,100
"Indian institute of Technology, Bombay",IIT-B,2,TLR,SS,20,18.5
"Indian institute of Technology, Bombay",IIT-B,2,TLR,FSR,30,28.25
"Indian institute of Technology, Bombay",IIT-B,2,TLR,FQE,20,19.21
"Indian institute of Technology, Bombay",IIT-B,2,TLR,FRU,30,23.65
"Indian institute of Technology, Bombay",IIT-B,2,RP,PU,35,35
"Indian institute of Technology, Bombay",IIT-B,2,RP,QP,40,36.61
"Indian institute of Technology, Bombay",IIT-B,2,RP,IPR,15,15
"Indian institute of Technology, Bombay",IIT-B,2,RP,FPPP,10,9.43
"Indian institute of Technology, Bombay",IIT-B,2,GO,GPHE,40,24.99
"Indian institute of Technology, Bombay",IIT-B,2,GO,GUE,15,14.07
"Indian institute of Technology, Bombay",IIT-B,2,GO,MS,25,19.87
"Indian institute of Technology, Bombay",IIT-B,2,GO,GPHD,20,17.6
"Indian institute of Technology, Bombay",IIT-B,2,OI,RD,30,20.83
"Indian institute of Technology, Bombay",IIT-B,2,OI,WD,30,10.67
"Indian institute of Technology, Bombay",IIT-B,2,OI,ESCS,20,6.22
"Indian institute of Technology, Bombay",IIT-B,2,OI,PCS,20,7
"Indian institute of Technology, Bombay",IIT-B,2,PR,PREMP,100,93.48
"Indian institute of Technology, Delhi",IIT-D,3,TLR,SS,20,17.21
"Indian institute of Technology, Delhi",IIT-D,3,TLR,FSR,30,24.67
"Indian institute of Technology, Delhi",IIT-D,3,TLR,FQE,20,15.81
"Indian institute of Technology, Delhi",IIT-D,3,TLR,FRU,30,23.44
"Indian institute of Technology, Delhi",IIT-D,3,RP,PU,35,34.71
